Sílaba|Ejemplos                                  |Observaciones
sai   |sainete prosaico desáiralo                |
saint |saintsimonismo                            |***dudosa
sais  |desaislar pasáis pensáis                  |
sal   |sal salmo basáltico                       |
sam   |asamblea ensamble desamparo               |
san   |san usan usándolo                         |
sans  |sánscrito                                 |
sar   |pasar cesar resárcelo                     |
sas   |casas gasas pasás                         |
sau   |camesáuridos                              |
sau   |sauce saurio sauces                       |
saz   |asaz                                      |
se    |se sebo sé                                |
sec   |secta sección interséctalo                |
sed   |sed cosed tosed                           |
seg   |segmentos                                 |
sei   |seibo gaseiforme dieciseisavo             |
seis  |seis fueseis ceséis                       |
sel   |dosel selvas madreselvas                  |
sem   |sembrar desempeño sempiterno              |
sen   |senda presente kerosén                    |
sep   |antisepsia septiembre séptimo             |
ser   |ser aserto desértico                      |
ses   |meses dieses pensés                       |
seu   |pseudo seudónimo                          |
sex   |sexto sextante séxtuplo                   |
sey   |jersey                                    |
sez   |osezno escasez insulsez                   |
si    |si sido así                               |
sia   |ansia demasiado mesiánico                 |
sian  |anestesian lisian                         |
siar  |lisiar extasiar heresiarca                |
sias  |iglesias entusiasmo eclesiástico          |
sic   |sic                                       |
sie   |siega siete pusiéronse                    |
siem  |siembra siempre siémbrala                 |
sien  |siendo sienten siéndoles                  |
sier  |sierpe siervo desierto                    |
sies  |siesta bisiesto ansiés                    |
sig   |signo insigne desígnelo                   |
sikhs |sikhs                                     |
sil   |silbo silbarán sílfide                    |
sim   |simple simpatía símbolo                   |
sin   |sin sintió síntesis                       |
sio   |ansioso presiona fisiólogo                |
sion  |sion prisión visión                       |
sios  |gimnasios polinesios melanesios           |
sioux |sioux                                     |
sir   |asir sirve sírvala                        |
sis   |sismo pusiste sísmico                     |
sit   |accésit                                   |
siu   |siu                                       |
so    |solo sobre pasó                           |
sob   |desobstruir                               |
soft  |software                                  |
soi   |desoiga elipsoide desóigala               |
sois  |sois                                      |
sol   |sol solté soldar                          |
sols  |solsticio                                 |
som   |sombra asombro asómbrense                 |
son   |son sondas tesón                          |
sor   |sor sordo desórdenes                      |
sos   |vasos fosos isósceles                     |
soy   |soy                                       |
su    |su sufrir súbito                          |
sua   |suave usuales casuárido                   |
sual  |usual casual visual                       |
sub   |subvertir subsistir súbditos              |
suc   |succión                                   |
sud   |sud                                       |
sue   |suena suele consuélelo                    |
suel  |suelda sueldo suéltate                    |
suer  |suerte                                    |
sues  |sueste consensues consensués              |
sui   |suizo suicida jesuítico                   |
suis  |casuística                                |
sul   |sultán resulta insúltalo                  |
sun   |asunto asuntos suntuoso                   |
sur   |sur surgir súrcalo                        |
sus   |sus suscrito susto                        |
ta    |plata punta está                          |
tab   |batab                                     |
tabs  |batabs                                    |
tac   |tacto intacto táctil                      |
tad   |mitad estad cantad                        |
tai   |taimado deltaico consintáisosla           |
tais  |estaisle advirtaisle estáis               |
tal   |tal metal nostálgico                      |
tam   |tambor también tampoco                    |
tan   |tan tanto están                           |
tar   |altar cantar tártaro                      |
tas   |latas matas estás                         |
tat   |aerostatmio                               |
tau   |restaurar tautología restáuralo           |
tay   |estay patay yatay                         |
taz   |capataz hartazgo almirantazgo             |
te    |te ante corté                             |
tec   |protección tecnicismo técnicos            |
ted   |usted                                     |
teg   |apotegma                                  |
tei   |proteico atrajísteisos abstuvísteisos     |
teis  |visteis amasteis metéis                   |
tel   |hotel cartel capitel                      |
tem   |tembló templo témpano                     |
ten   |ten tentar estén                          |
ter   |eterno externo térmico                    |
tes   |gentes montes cortés                      |
test  |test                                      |
teu   |teutón pasteuriza enfitéutico             |
teur  |amateur                                   |
tex   |texto textil pretéxtalo                   |
tez   |tez sensatez apetézcalo                   |
theid |apartheid                                 |
ti    |ti altivez metí                           |
tia   |tiara bestia antiácido                    |
tial  |bestial manantial celestial               |
tian  |sitian abestian cristiandad               |
tiar  |hastiar angustiar amnistiar               |
tias  |bestias molestias angustias               |
tic   |tic tictac                                |
tid   |vestid partid                             |
tie   |tiene detiene metiéramos                  |
tiem  |tiempo tiembla septiembre                 |
tien  |tienda atiende tiéndelos                  |
tier  |tierno estiércol                          |
ties  |tiesto antiestético hastiés               |
tig   |estigma astigmático                       |
tiim  |antiimperialismo                          |
tiin  |antiinflamatorio                          |
til   |útil fértil tílburi                       |
tim   |timbó timbre tímpano                      |
tin   |tinta extinguir latín                     |
tio   |patio sitio metió                         |
tion  |catión gestión cuestión                   |
tios  |patios sitios vatios                      |
tir   |abatir mártir extírpalo                   |
tis   |comiste batiste mentís                    |
tiu   |veintiuno veintiúnico                     |
tiun  |veintiún                                  |
tiz   |matiz tizne tíznala                       |
tl    |náhuatl                                   |
tla   |nahualtlacas                              |
tlan  |atlantes atlántico                        |
tlas  |atlas                                     |
tlax  |tlaxcalteca                               |
tle   |atleta nahuatle atléticos                 |
tles  |nahuatles                                 |
tlon  |pentatlón                                 |
to    |todo esto gritó                           |
toc   |autóctono                                 |
tog   |plectognato                               |
tohu  |autohumillación                           |
toi   |estoico deltoides alantoides              |
toin  |autoinducción                             |
tol   |toldos apóstol entóldalo                  |
tom   |hecatombe tómbola                         |
ton   |tonto entonces ratón                      |
top   |autopsia acantopterigio |ortópteros       |
tor   |actor pastor tórtola                      |
tos   |tos cortos estratósfera                   |
toy   |estoy                                     |
tra   |otra traen trámite                        |
trac  |tracto extracto retráctil                 |
trad  |entrad mostrad                            |
trai  |traigo traición tráigasela                |
trais |entráis mostráis suministráis             |
tral  |teatral central austral                   |
tram  |trampa entrampar entrambos                |
tran  |entran registran tránsito                 |
trans |transmigra transporte transmitir          |
trar  |entrar mostrar demostrárselo              |
tras  |tras letras atrás                         |
trau  |trauma                                    |
trax  |ántrax                                    |
traz  |matraz alcatraz maestrazgo                |
tre   |entre postre trémulo                      |
trein |treinta                                   |
treis |entréis postréis                          |
trel  |petrel                                    |
tren  |tren nutren trénzalo                      |
trep  |atrepsia estreptococo                     |
trer  |postrer                                   |
tres  |tres catres estrés                        |
tri   |trigo trilla simetría                     |
tria  |patria nutria triásico                    |
trial |industrial                                |
trian |triangular repatrian triángulo            |
triar |estriar patriarca expatriar               |
trias |patrias industrias                        |
tric  |estricto constrictor estricnina           |
trie  |trienal nutriero restriégalo              |
trien |expatrien nutrientes                      |
tries |estrieslo repatrieslo repatriés           |
tril  |atril maestril cuchitril                  |
trin  |trinchera trinca intrínseco               |
trio  |atrio arbitrio patriótico                 |
trion |histrión anfitrión septentrión            |
trios |atrios patrios arbitrios                  |
trip  |triptongo tríptico                        |
trir  |nutrir                                    |
tris  |tris triste letrística                    |
triun |triunfo triunvirato                       |
triz  |matriz actriz motriz                      |
tro   |otro trono entró                          |
troi  |troica introito electroimán               |
troin |gastrointestinal                          |
troj  |troj                                      |
trol  |control                                   |
trom  |trompo tromba estrómbido                  |
tron  |tronco tronchar patrón                    |
tros  |otros cetros antróstomo                   |
troy  |troy                                      |
troz  |atroz                                     |
tru   |destruye instruye estrújalo               |
trua  |menstrua                                  |
trual |menstrual                                 |
truc  |estructura destructor instrucción         |
true  |trueno trueque atruénala                  |
truen |estruendo                                 |
trues |menstrués                                 |
trui  |destruido obstruido construía             |
truid |destruid obstruid instruid                |
truir |destruir obstruir instruir                |
truis |altruismo destruiste                      |
trun  |truncado trúncala                         |
truo  |menstruo monstruo                         |
truos |menstruos monstruos                       |
trus  |etrusca                                   |
trust |trust                                     |
truz  |avestruz                                  |
tu    |tu tuvo tú                                |
tua   |situada estatua perpetua                  |
tual  |actual puntual habitual                   |
tuan  |actuando exceptuando efectuándolo         |
tuar  |actuar efectuar tatuármelo                |
tuas  |mutuas estatuas perpetuas                 |
tud   |virtud quietud multitud                   |
tue   |hebitué efectué tuétanos                  |
tuen  |atuendo                                   |
tuer  |tuerto tuerce tuércelo                    |
tues  |tuesto actuesla acentués                  |
tui   |fortuito restituiré instituí              |
tuian |constituian                               |
tuid  |restituid constituid destituid            |
tuir  |restituir constituir destituir            |
tul   |tul tutulxiu estulticia                   |
tum   |tumba costumbre túmbala                   |
tun   |tunda tundra tuntún                       |
tuo   |suntuoso perpetuo actuó                   |
tuos  |mutuos perpetuos                          |
tur   |turba aturde litúrgico                    |
turf  |turf                                      |
tus   |tus status patatús                        |
tut   |tutsis                                    |
tuz   |testuz                                    |
u     |u una aúlla                               |
ud    |laúd ataúd                                |
uf    |uf                                        |
ul    |ultramar ultrajado último                 |
um    |umbral umbrío umbroso                     |
un    |un ungid aún                              |
ur    |urdir urgir úrsido                        |
us    |usted balaústre                           |
uz    |uzbekos                                   |
va    |vara lava vámonos                         |
vac   |vivac                                     |
vad   |llevad salvad abrevad                     |
vai   |vaina vaivén hirváisosla                  |
vais  |vais hirvaisla viváis                     |
val   |oval rival válgame                        |
vals  |vals                                      |
vam   |vampiro                                   |
van   |van levan desván                          |
var   |cavar llevar llevárselo                   |
vas   |uvas cuevas vástago                       |
vaz   |vivaz                                     |
ve    |ve nieve cavé                             |
vec   |provecta invectiva convección             |
ved   |ved volved                                |
vei   |correveidile                              |
vein  |veinte veintiún veintiuno                 |
veis  |veis volvéis atrevéis                     |
vel   |nivel clavel esparavel                    |
ven   |vende vendrá vaivén                       |
ver   |ver verdad vértigo                        |
ves   |aves naves revés                          |
vez   |vez calvez altivézcase                    |
vi    |vida viña vía                             |
via   |novia lluvia viático                      |
viad  |enviad                                    |
viais |aviáis enviáis                            |
vial  |fluvial trivial sinovial                  |
vian  |vianda enviando enviándolo                |
viar  |aviar enviar desviar                      |
vias  |lluvias enviaste ataviaste                |
viaz  |noviazgo                                  |
vic   |victoria convicto víctima                 |
vid   |vid vivid servid                          |
vie   |viene vieron envié                        |
vieis |aviéis enviéis                            |
viem  |noviembre                                 |
vien  |viendo viento moviéndolo                  |
vier  |viernes advierta diviértele               |
vies  |abrevies agravies enviés                  |
viet  |soviet vietnamita                         |
vil   |vil evil civil inmóvil                    |
vim   |ovimbundu                                 |
vin   |vindicar provincia llavín                 |
vio   |novio alivio volvió                       |
viol  |raviol                                    |
vion  |avión envión aluvión                      |
vios  |nervios servios agravios                  |
vir   |vivir virtud vírgenes                     |
vis   |vista vistan víspera                      |
vit   |superávit                                 |
viu   |viuda interviú                            |
viz   |vizco cerviz vizcachas                    |
vo    |tuvo nuevo salvó                          |
vod   |vodka                                     |
voi   |voivodato ovoide                          |
vol   |volcar volver revólver                    |
volt  |volt                                      |
volts |volts                                     |
von   |pavón malvón socavón                      |
vor   |favor pavor vórtice                       |
vos   |vivos huevos salvos                       |
voy   |voy convoy                                |
voz   |voz altavoz tornavoz                      |
vu    |óvulo válvula bravura                     |
vue   |vuela vuelo vuélala                       |
vuel  |vuelve revuelve vuélvase                  |
vues  |vuestro                                   |
vul   |vulgo vulgar divulgado                    |
wa    |hardware waterpolo hawaiano               |
wag   |wagneriano                                |***dudosa
wal   |walkiria                                  |
watt  |watt                                      |
watts |watts                                     |
well  |maxwell                                   |
whis  |whisky                                    |
wi    |kiwi                                      |
win   |wínchester                                |
wis   |wiski                                     |
wol   |wolfram wólfram                           |
xa    |examen exagera hexágono                   |
xac   |exacto exactor                            |
xal   |coxal exaltar exáltala                    |
xan   |exangüe laxante exantema                  |
xar   |laxar anexar exarcado                     |
xas   |anexas conexas convexas                   |
xe    |execra exequias exégesis                  |
xen   |exento anexen indexen                     |
xer   |boxer                                     |
xers  |boxers                                    |
xes   |anexes indexes laxes                      |
xi    |éxito auxilio oxígeno                     |
xia   |asfixia galaxia caquexia                  |
xial  |axial                                     |
xian  |asfixian                                  |
xiar  |asfixiar                                  |
xias  |asfixias galaxias asfixiás                |
xie   |asfixie                                   |
xien  |asfixien                                  |
xies  |asfixies asfixiés                         |
xio   |axioma inflexiones afluxionarse           |
xion  |conexión anexión flexión                  |
xir   |elixir                                    |
xis   |exista praxis sintaxis                    |
xiu   |oxiuro tutulxiu                           |
xius  |tutulxius tutulxiús                       |
xix   |haxix                                     |
xo    |sexo anexo exótico                        |
xof   |exoftalmia                                |
xon   |claxon axón                               |
xor   |exornar exordio exórdiala                 |
xos   |sexos anexos ortodoxos                    |
xu    |exuda exubera                             |
xua   |sexuales                                  |
xual  |sexual                                    |
xul   |exultante                                 |
xuo   |flexuoso                                  |
y     |y                                         |
ya    |ya haya carayá                            |
yac   |yac                                       |
yai   |atribuyaisos concluyaisos concluyáisosla  |
yais  |atribuyaisle contribuyaislo vayáis        |
yak   |yak kayak                                 |
yal   |yuyal sayal albayalde                     |
yam   |yambo yámbico                             |
yan   |hayan vayan arrayán                       |
yar   |apoyar soslayar desmayar                  |
yas   |hayas vayas vayás                         |
yau   |yaucateco                                 |
yaz   |yaz yazga                                 |
ye    |huye oyere destruyéronla                  |
yec   |inyecto abyecto proyecto                  |
yeis  |desmayéis                                 |
yel   |yelmo joyel                               |
yen   |oyen huyen yéndose                        |
yer   |ayer yermo desyérbalo                     |
yes   |ayes leyes reyes                          |
yeu   |mayéutica                                 |
yez   |emplebeyezca emplebeyézcala               |
yi    |onomatopéyico cucúyido                    |
yis   |ensayista tramoyista                      |
yo    |oyó cayó huyó                             |
yo    |yo rayo huyó                              |
yon   |rayón                                     |
yor   |mayor mayordomo neoyorquino               |
yos   |cuyos tuyos arroyos                       |
yu    |yugo ayuda manguruyú                      |
yue   |arroyuelos rayuela hoyuelos               |
yun   |yunta yunque coyunda                      |
yus   |mayúsculo                                 |
yux   |yuxtaponer                                |
za    |choza cabeza quizá                        |
zad   |alzad forzad enderezad                    |
zag   |zigzag                                    |
zai   |zaino dulzaina                            |
zais  |cazáis torzáis                            |
zal   |tozal bozal zorzal                        |
zam   |zampoña azamboa zambaigo                  |
zan   |gozan alzando holgazán                    |
zar   |zarza alcázar cruzársela                  |
zas   |plazas lanzas quizás                      |
ze    |zeta zedilla zepelín                      |
zei   |cruzeiro                                  |
zeug  |zeugma                                    |
zi    |nazi azimut enzima                        |
zia   |razia celazia hertziana                   |
zig   |zigzag                                    |
zin   |zingarito zíngaro                         |
zinc  |zinc                                      |
zis   |nazis                                     |
zo    |lazo hizo alzó                            |
zoi   |paleozoico cenozoicos mesozoicos          |
zol   |benzol ocozol azolvar                     |
zon   |zonzo horizonte razón                     |
zor   |azor dulzor escozor                       |
zos   |lazos mozos zarzos                        |
zu    |zumo azufre azúcar                        |
zue   |azud                                      |
zue   |azuela anzuelo desanzuélalo               |
zul   |azul                                      |
zum   |zumbar azumbre zúmbale                    |
zun   |zuncho enzúnchala                         |
zur   |azur zurdo zúrcela                        |
zuz   |orozuz                                    |
------+------------------------------------------+---------------
